regulator	target	category	evidence	source	regulator.association.disease	target.association.disease	is_regulator_in_disease	is_target_in_disease	target.reg	regulator.reg
CEBPB	IL10	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Sepsis, Reperfusion Injury, Prostatitis, Arthritis, Experimental, Lupus Erythematosus, Systemic, Arthritis, Rheumatoid, Colitis, Ulcerative, Inflammatory Bowel Diseases, Crohn Disease, Inflammation, Myocardial Infarction, Behcet Syndrome, Colitis, Diabetes Mellitus, Type 1, Irritable Bowel Syndrome, Lung Neoplasms, HIV Infections, Drug Hypersensitivity, Leishmaniasis, Leishmaniasis, Cutaneous, Dermatitis, Atopic, Leishmaniasis, Visceral, Carcinoma, Non-Small-Cell Lung, Glomerulonephritis, Hepatitis, Autoimmune, Brain Injuries, Prostatic Neoplasms, Enterocolitis, Dermatitis, Allergic Contact, Acute Kidney Injury, Appendicitis, Autistic Disorder, Burns, Entamoebiasis, Genetic Predisposition to Disease, Hyperalgesia, Hypersensitivity, Immediate, Liver Cirrhosis, Experimental, Mammary Neoplasms, Experimental, Mucositis, Multiple Organ Failure, Pleurisy	TRUE	FALSE	1	1
CEBPB	MEFV	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Familial Mediterranean Fever, Familial Mediterranean Fever, Autosomal Dominant, Arthritis, Psoriatic	TRUE	FALSE	1	1
CEBPB	CYP19A1	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Aromatase deficiency, Breast Neoplasms, Polycystic Ovary Syndrome, Prostatic Neoplasms, Osteoporosis, Autistic Disorder, Infertility, Female, Adenocarcinoma, Sexual Infantilism, Amenorrhea, Bone Resorption, Critical Illness, Diabetes, Gestational, Esophageal Neoplasms, Fatty Liver, Fibrosis, Hypogonadism, Hypopituitarism, Ovarian Diseases, Peripheral Nervous System Diseases	TRUE	FALSE	1	1
CEBPB	SAA2	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia		TRUE	FALSE	1	1
CEBPB	SPINK1	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Tropical Calcific Pancreatitis, Hereditary pancreatitis, Pancreatitis, Pancreatitis, Chronic, Pancreatic Neoplasms	TRUE	FALSE	1	1
CEBPB	CCL3	tf-gene	Experimental	PMID20584335	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	HIV Infections, Carcinoma, Hepatocellular, Brain Ischemia, Glomerulonephritis, Hypersensitivity, Inflammation, Lung Injury, Myocardial Ischemia, Pulmonary Fibrosis, Reperfusion Injury, Status Epilepticus	TRUE	TRUE	1	1
CEBPB	IL8	tf-gene	Experimental	Oreganno	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Inflammation, Breast Neoplasms, Prostatic Neoplasms, Pulmonary Disease, Chronic Obstructive, Carcinoma, Squamous Cell, Colitis, Ulcerative, Stomach Neoplasms, Colorectal Neoplasms, Pancreatic Neoplasms, Pneumonia, Adenocarcinoma, Carcinoma, Hepatocellular, Glioblastoma, Behcet Syndrome, Urinary Bladder Neoplasms, Gastroesophageal Reflux, Carcinoma, Non-Small-Cell Lung, Cachexia, Esophagitis, Peptic, Liver Cirrhosis, Glomerulonephritis, Ovarian Neoplasms, Angina, Unstable, Barrett Esophagus, Fatty Liver, Leishmaniasis, Cutaneous, Pulmonary Fibrosis, Cell Transformation, Neoplastic, Cholestasis, Down Syndrome, Edema, Endometrial Neoplasms, Fever, Hyperalgesia, Hypersensitivity, Hypertension, Pulmonary, Lichenoid Eruptions, Neuralgia, Postherpetic, Pain, Intractable, Pemphigoid, Bullous, Reperfusion Injury	TRUE	TRUE	1	1
CEBPB	BCL2A1	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Breast Neoplasms, Esophageal Neoplasms	TRUE	FALSE	1	1
CEBPB	S100A9	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Colonic Neoplasms, Keloid	TRUE	FALSE	1	1
CEBPB	IL6	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Diabetes Mellitus, Type 2, Heart Failure, Diabetes Mellitus, Experimental, Reperfusion Injury, Shock, Hemorrhagic, Multiple Myeloma, Arthritis, Rheumatoid, Obesity, Myocardial Infarction, Atherosclerosis, Inflammation, Prostatic Neoplasms, Stroke, Breast Neoplasms, Neoplasm Metastasis, Lupus Erythematosus, Systemic, Metabolic Syndrome X, Arthritis, Juvenile Rheumatoid, Crohn Disease, Sarcoma, Kaposi, Carcinoma, Hepatocellular, Psoriasis, Parkinson Disease, Cachexia, Obstetric Labor, Premature, Abortion, Spontaneous, Pulmonary Fibrosis, Autoimmune Diseases, Schizophrenia, Colitis, Osteoporosis, Osteoporosis, Postmenopausal, Wounds and Injuries, Leukemia, Lymphocytic, Chronic, B-Cell, Giant Lymph Node Hyperplasia, Pneumonia, Inflammatory Bowel Diseases, Ovarian Neoplasms, Cholangiocarcinoma, Myocardial Ischemia, Ischemia, Depressive Disorder, Neurodegenerative Diseases, Dermatitis, Atopic, Intracranial Arteriovenous Malformations, Glomerulonephritis, Brain Injuries, Carcinoma, Basal Cell, Liver Cirrhosis, Hypercalcemia, Seizures, Arthritis, Experimental, Autistic Disorder, Cardiomyopathies, Headache, Hemolytic-Uremic Syndrome, Liver Cirrhosis, Alcoholic, Amnesia, Brain Ischemia, Peripheral Nervous System Diseases, Acute Kidney Injury, Albuminuria, Berylliosis, Burns, Cholestasis, Drug-Induced Liver Injury, Edema, Entamoebiasis, Fever, Hepatitis, Autoimmune, Hernia, Diaphragmatic, HIV Wasting Syndrome, Hyperalgesia, Hyperoxaluria, Hyperparathyroidism, Secondary, Hypersensitivity, Hypoalbuminemia, Hypotension, Infarction, Middle Cerebral Artery, Leishmaniasis, Leishmaniasis, Visceral, Lichenoid Eruptions, Lung Injury, Meningitis, Aseptic, Mitochondrial Myopathies, Necrosis, Pleurisy, Polymyositis, Pregnancy Complications, Cardiovascular, Respiratory Hypersensitivity, Ventricular Dysfunction, Left	TRUE	TRUE	1	1
CEBPB	LDLR	tf-gene	Experimental	PMID20584335	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	HYPERCHOLESTEROLEMIA, FAMILIAL, Hypercholesterolemia, Hyperlipoproteinemia Type II, Atherosclerosis, Coronary Disease, Coronary Artery Disease, Hyperlipidemias, Dyslipidemias, Non-alcoholic Fatty Liver Disease, Amyotrophic lateral sclerosis 1, Hyperplasia	TRUE	FALSE	1	1
CEBPB	PTGS2	tf-gene	Experimental	Transfac	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Adenocarcinoma, Neoplasm Metastasis, Lung Neoplasms, Colonic Neoplasms, Carcinoma, Hepatocellular, Inflammation, Barrett Esophagus, Esophageal Neoplasms, Carcinoma, Renal Cell, Stomach Ulcer, Hypertension, Mouth Neoplasms, Fibrosis, Hyperalgesia, Seizures, Brain Injuries, Brain Ischemia, Diabetes Mellitus, Experimental, Reperfusion Injury, Status Epilepticus, Carcinoma, Carcinoma, Squamous Cell, Neoplasms, Colorectal Neoplasms, Breast Neoplasms, Stomach Neoplasms, Prostatic Neoplasms, Atherosclerosis, Melanoma, Pancreatic Neoplasms, Arthritis, Rheumatoid, Cholangiocarcinoma, Glioma, Cardiovascular Diseases, Adenomatous Polyposis Coli, Coronary Artery Disease, Inflammatory Bowel Diseases, Precancerous Conditions, Carcinoma, squamous cell of head and neck, Esophageal Squamous Cell Carcinoma, Autistic Disorder, Hyperglycemia, Thyroid Neoplasms, Stroke, Urinary Bladder Neoplasms, Adenocarcinoma Of Esophagus, Kidney Failure, Chronic, Leukemia, Lymphocytic, Chronic, B-Cell, Lung Diseases, Skin Neoplasms, Hyperplasia, Papilloma, Thrombosis, Colitis, Depressive Disorder, Diabetes Mellitus, Amyotrophic Lateral Sclerosis, Carcinoma, Transitional Cell, Gastroesophageal Reflux, Leukoplakia, Oral, Carcinoma in Situ, Intestinal Polyps, Lymphoma, B-Cell, Obesity, Aortic Aneurysm, Abdominal, Kidney Diseases, Lupus Erythematosus, Systemic, Oral Submucous Fibrosis, Heart Failure, Kidney Neoplasms, Leiomyosarcoma, Pancreatitis, Tongue Neoplasms, Albuminuria, Arrhythmias, Cardiac, Asphyxia Neonatorum, Asthma, Aspirin-Induced, Bone Neoplasms, Burns, Cachexia, Cardiomyopathies, Cognition Disorders, Drug-Induced Liver Injury, Drug Toxicity, Duodenal Ulcer, Edema, Glaucoma, Open-Angle, Hydronephrosis, Hyperemia, Liver Cirrhosis, Experimental, Mouth Diseases, Neoplasm Recurrence, Local, Nervous System Diseases, Neurogenic Inflammation, Pericardial Effusion, Proteinuria, Puberty, Precocious, Skin Diseases, Urinary Bladder Neck Obstruction	TRUE	TRUE	1	1
CEBPB	FASLG	tf-gene	Experimental	Oreganno	Carcinoma, Hepatocellular, Pulmonary Fibrosis, Brain Injuries, Brain Ischemia	Lupus Erythematosus, Systemic, Melanoma, Atherosclerosis, Cardiomyopathies, Carcinoma, Non-Small-Cell Lung, Hepatitis, Acute Lung Injury, Cardiomyopathy, Dilated, Carotid Artery Diseases, Drug Hypersensitivity, Hyperlipidemia, Familial Combined, Liver Failure, Acute, Prostatic Neoplasms, Testicular Diseases	TRUE	FALSE	1	1
