Category	Term	Count	Mir	Percentage	Pval	Pval.BH	Pval.Bonf
disease	Osteosarcoma 	1	hsa-mir-21	100	0.0103806228373703	0.0809688581314883	1
disease	Psoriasis	2	hsa-mir-146a, hsa-mir-21	11.7647058823529	0.0114070937310338	0.0847384105733941	1
disease	Diabetes Mellitus, Type 2	2	hsa-mir-146a, hsa-mir-21	10.5263157894737	0.0142087814670983	0.0895755998392837	1
disease	Hamartoma Syndrome, Multiple	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Neutropenia	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Arthritis, Psoriatic	1	hsa-mir-146a	50	0.0206712922706039	0.0895755998392837	1
disease	Esophagus	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Cardiovascular Diseases	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Pulmonary Fibrosis	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Brain Injuries	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	AIDS Dementia Complex	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Sjogren's Syndrome	1	hsa-mir-146a	50	0.0206712922706039	0.0895755998392837	1
disease	Moyamoya Disease	1	hsa-mir-146a	50	0.0206712922706039	0.0895755998392837	1
disease	Carcinoma, Neuroendocrine	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Behcet Syndrome	1	hsa-mir-146a	50	0.0206712922706039	0.0895755998392837	1
disease	Psychotic Disorders	1	hsa-mir-146a	50	0.0206712922706039	0.0895755998392837	1
disease	Glioblastoma 	1	hsa-mir-21	50	0.0206712922706039	0.0895755998392837	1
disease	Atherosclerosis	2	hsa-mir-146a, hsa-mir-21	8	0.0242337998159706	0.102174939764633	1
disease	Multiple Sclerosis	2	hsa-mir-21, hsa-mir-146a	7.69230769230769	0.0261297480694099	0.10726949207442	1
disease	Dermatitis, Atopic	1	hsa-mir-21	33.3333333333333	0.0308726329761183	0.111567130112196	1
disease	Prion Diseases	1	hsa-mir-146a	33.3333333333333	0.0308726329761183	0.111567130112196	1
disease	Lymphoma, Non-Hodgkin	1	hsa-mir-21	33.3333333333333	0.0308726329761183	0.111567130112196	1
disease	Demyelinating Diseases	1	hsa-mir-21	33.3333333333333	0.0308726329761183	0.111567130112196	1
disease	Carcinoma, Endometrioid	1	hsa-mir-21	33.3333333333333	0.0308726329761183	0.111567130112196	1
disease	Lupus Erythematosus, Systemic	2	hsa-mir-146a, hsa-mir-21	6.89655172413793	0.0321828259939027	0.111567130112196	1
disease	Eosinophilic Esophagitis	2	hsa-mir-21, hsa-mir-146a	6.89655172413793	0.0321828259939027	0.111567130112196	1
disease	Alzheimer Disease	2	hsa-mir-146a, hsa-mir-21	6.66666666666667	0.0343188975075317	0.11638582632989	1
disease	Inflammation	2	hsa-mir-146a, hsa-mir-21	6.45161290322581	0.0365124972496928	0.121190416403236	1
disease	Tuberculosis, Pulmonary	2	hsa-mir-146a, hsa-mir-21	6.25	0.0387626413362131	0.122955799113451	1
disease	Heart Diseases	1	hsa-mir-21	25	0.0409852663711502	0.122955799113451	1
disease	Cryptosporidium	1	hsa-mir-21	25	0.0409852663711502	0.122955799113451	1
disease	Sezary Syndrome	1	hsa-mir-21	25	0.0409852663711502	0.122955799113451	1
disease	Influenza, Human	1	hsa-mir-146a	25	0.0409852663711502	0.122955799113451	1
disease	Lymphoma, B-Cell	2	hsa-mir-146a, hsa-mir-21	5.88235294117647	0.0434286694654682	0.127827781822888	1
